AppID,Name,Release_Date,Primary_Genre,All_Tags,Price_USD,Discount_Pct,Review_Score_Pct,Total_Reviews,Steam_Deck_Status,Estimated_Owners,24h_Peak_Players,metadata_soup
1211630,The Jackbox Party Pack 7,2020-10-14,Casual,Party Game;Party;Funny;Word Game;Board Game;2D;Team-Based;Comedy;Trivia;Family Friendly,29.99,0,90,3931,Unknown,117930,97,casual party game;party;funny;word game;board game;2d;team-based;comedy;trivia;family friendly
1702010,Sengoku Dynasty,2024-11-07,Adventure,City Builder;Survival;Open World;Base Building;Medieval;Life Sim;Multiplayer;Building;Crafting;RPG,17.99,40,69,6093,Unknown,182790,203,adventure city builder;survival;open world;base building;medieval;life sim;multiplayer;building;crafting;rpg
1286220,Sea Power : Naval Combat in the Missile Age,2024-11-12,Action,Naval Combat;Simulation;Strategy;Cold War;Real Time Tactics;Military;Singleplayer;Naval;War;Real-Time,49.99,0,88,4831,Unknown,144930,384,action naval combat;simulation;strategy;cold war;real time tactics;military;singleplayer;naval;war;real-time
2878600,Harry Potter: Quidditch Champions,2024-09-03,Action,Sports;Action;Flight;Arcade;Third Person;Magic;PvP;Supernatural;Character Customization;PvE,5.99,80,65,2678,Unknown,80340,28,action sports;action;flight;arcade;third person;magic;pvp;supernatural;character customization;pve
1985810,Call of Duty®: Black Ops Cold War,2023-03-08,Action,Multiplayer;Singleplayer;FPS;Action;Zombies;Cold War;Shooter;First-Person;Military;Co-op,59.99,0,83,20374,Unknown,611220,644,action multiplayer;singleplayer;fps;action;zombies;cold war;shooter;first-person;military;co-op
424840,Little Nightmares,2017-04-27,Adventure,Horror;Atmospheric;Adventure;Singleplayer;Puzzle Platformer;Dark;Puzzle;Indie;Story Rich;Stealth,4.99,75,96,50784,Unknown,1523520,222,adventure horror;atmospheric;adventure;singleplayer;puzzle platformer;dark;puzzle;indie;story rich;stealth
1850510,TRIANGLE STRATEGY,2022-10-13,RPG,Turn-Based Tactics;Strategy RPG;RPG;JRPG;Strategy;Politics;Pixel Graphics;War;Grid-Based Movement;2D,23.99,60,93,3017,Unknown,90510,88,rpg turn-based tactics;strategy rpg;rpg;jrpg;strategy;politics;pixel graphics;war;grid-based movement;2d
1796470,Haste,2025-04-01,Action,Fast-Paced;Parkour;Roguelite;Female Protagonist;Action;3D Platformer;Runner;Singleplayer;Adventure;Racing,13.99,30,89,10974,Unknown,329220,358,action fast-paced;parkour;roguelite;female protagonist;action;3d platformer;runner;singleplayer;adventure;racing
2648050,Sam & Max: The Devil's Playhouse,2024-08-14,Adventure,Point & Click;Adventure;Comedy;Puzzle;Funny;Cartoon;3D;Cartoony;Colorful;Comic Book,14.99,25,91,361,Unknown,10830,5,adventure point & click;adventure;comedy;puzzle;funny;cartoon;3d;cartoony;colorful;comic book
1289670,EA Play,2020-08-31,Action,Sports;Shooter;Multiplayer;RTS;Puzzle;Simulation;Racing;Adventure;Action-Adventure;Strategy,5.99,0,0,0,Unknown,0,0,action sports;shooter;multiplayer;rts;puzzle;simulation;racing;adventure;action-adventure;strategy
1627720,Lies of P,2023-09-18,Action,Souls-like;Dark Fantasy;Action;Singleplayer;Action RPG;Story Rich;Third Person;Exploration;Steampunk;Dark,59.99,0,88,53788,Unknown,1613640,1363,action souls-like;dark fantasy;action;singleplayer;action rpg;story rich;third person;exploration;steampunk;dark
2698940,The Crew Motorfest,2024-04-18,Racing,Racing;Open World;Multiplayer;Driving;Arcade;Sandbox;Singleplayer;PvP;Online Co-Op;Sports,69.99,0,71,18589,Unknown,557670,222,racing racing;open world;multiplayer;driving;arcade;sandbox;singleplayer;pvp;online co-op;sports
2507820,Bloodgrounds,2026-03-12,Indie,Turn-Based Tactics;Rome;Turn-Based Combat;Perma Death;RPG;Management;Fantasy;Turn-Based Strategy;Base Building;Pixel Graphics,9.99,50,81,328,Unknown,9840,0,indie turn-based tactics;rome;turn-based combat;perma death;rpg;management;fantasy;turn-based strategy;base building;pixel graphics
1593500,God of War,2022-01-14,Action,Action;Singleplayer;Story Rich;Mythology;Adventure;Combat;Third Person;RPG;Hack and Slash;Open World,49.99,0,95,123557,Unknown,3706710,1380,action action;singleplayer;story rich;mythology;adventure;combat;third person;rpg;hack and slash;open world
582010,Monster Hunter: World,2018-08-08,Action,Co-op;Multiplayer;Action;Open World;RPG;Character Customization;Third Person;Adventure;Fantasy;Action RPG,29.99,0,88,312403,Unknown,9372090,11923,action co-op;multiplayer;action;open world;rpg;character customization;third person;adventure;fantasy;action rpg
1517290,Battlefield™ 2042,2021-11-19,Action,FPS;Multiplayer;Shooter;Military;Singleplayer;War;Action;First-Person;Combat;Team-Based,2.99,95,59,257423,Unknown,7722690,2774,action fps;multiplayer;shooter;military;singleplayer;war;action;first-person;combat;team-based
2101960,Cronos: The New Dawn,2025-09-05,Action,Survival Horror;Horror;Sci-fi;Third-Person Shooter;Combat;Difficult;Post-apocalyptic;Story Rich;Atmospheric;Time Travel,59.99,0,84,6300,Unknown,189000,0,action survival horror;horror;sci-fi;third-person shooter;combat;difficult;post-apocalyptic;story rich;atmospheric;time travel
227300,Euro Truck Simulator 2,2012-10-12,Indie,Driving;Transportation;Simulation;Open World;Automobile Sim;Realistic;Moddable;Relaxing;Exploration;Economy,19.99,0,95,749693,Unknown,22490790,17281,indie driving;transportation;simulation;open world;automobile sim;realistic;moddable;relaxing;exploration;economy
2119830,MISERY,2025-10-23,Action,Survival;Online Co-Op;Post-apocalyptic;Multiplayer;Horror;Open World;Co-op;Survival Horror;PvE;Crafting,12.99,0,79,14823,Unknown,444690,0,action survival;online co-op;post-apocalyptic;multiplayer;horror;open world;co-op;survival horror;pve;crafting
1432860,Sun Haven,2023-03-10,Adventure,Farming Sim;Pixel Graphics;Multiplayer;Life Sim;RPG;Dating Sim;Character Customization;Relaxing;Adventure;Fantasy,12.49,50,66,21206,Unknown,636180,653,adventure farming sim;pixel graphics;multiplayer;life sim;rpg;dating sim;character customization;relaxing;adventure;fantasy
620,Portal 2,2011-04-18,Action,Singleplayer;Platformer;Puzzle;First-Person;Dark Humor;Story Rich;Puzzle Platformer;Funny;Female Protagonist;3D Platformer,9.99,0,98,379913,Unknown,11397390,1959,action singleplayer;platformer;puzzle;first-person;dark humor;story rich;puzzle platformer;funny;female protagonist;3d platformer
391540,Undertale,2015-09-15,Indie,Great Soundtrack;Story Rich;Choices Matter;Multiple Endings;Pixel Graphics;Funny;RPG;Singleplayer;Indie;2D,2.49,75,96,284695,Unknown,8540850,3331,indie great soundtrack;story rich;choices matter;multiple endings;pixel graphics;funny;rpg;singleplayer;indie;2d
2490990,Visions of Mana,2024-08-29,Action,RPG;JRPG;Party-Based RPG;Action RPG;3D;Cute;Action;Lore-Rich;Story Rich;Fantasy,29.99,50,77,1990,Unknown,59700,28,action rpg;jrpg;party-based rpg;action rpg;3d;cute;action;lore-rich;story rich;fantasy
680420,OUTRIDERS,2021-04-01,Action,Looter Shooter;RPG;Co-op;Third-Person Shooter;Action;Adventure;Multiplayer;Loot;Singleplayer;Shooter,7.99,60,79,45896,Unknown,1376880,178,action looter shooter;rpg;co-op;third-person shooter;action;adventure;multiplayer;loot;singleplayer;shooter
1486920,Tempest Rising,2025-04-24,Action,RTS;Strategy;Base Building;Singleplayer;Multiplayer;Isometric;3D;Real-Time;War;Action,29.99,25,84,9144,Unknown,274320,528,action rts;strategy;base building;singleplayer;multiplayer;isometric;3d;real-time;war;action
997010,Police Simulator: Patrol Officers,2022-11-10,Simulation,Simulation;Crime;Multiplayer;Open World;Realistic;Online Co-Op;Investigation;Co-op;Immersive Sim;America,29.99,0,73,17802,Unknown,534060,318,simulation simulation;crime;multiplayer;open world;realistic;online co-op;investigation;co-op;immersive sim;america
1592190,BONELAB,2022-09-29,Action,VR;Physics;Sandbox;Action;Shooter;First-Person;FPS;Violent;Action-Adventure;Puzzle,39.99,0,94,17097,Unknown,512910,173,action vr;physics;sandbox;action;shooter;first-person;fps;violent;action-adventure;puzzle
1794680,Vampire Survivors,2022-10-20,Action,Action Roguelike;Bullet Hell;Roguelite;Pixel Graphics;Vampire;2D;Indie;Singleplayer;Arcade;Casual,4.99,0,95,246806,Unknown,7404180,2966,action action roguelike;bullet hell;roguelite;pixel graphics;vampire;2d;indie;singleplayer;arcade;casual
3156770,Witchfire,2024-09-23,Action,FPS;Dark Fantasy;Extraction Shooter;Roguelite;Souls-like;Shooter;RPG;Early Access;PvE;Exploration,39.99,0,90,13415,Unknown,402450,127,action fps;dark fantasy;extraction shooter;roguelite;souls-like;shooter;rpg;early access;pve;exploration
629730,Blade and Sorcery,2024-06-17,Action,VR;Swordplay;Moddable;Sandbox;Gore;Magic;Action;Violent;Physics;Medieval,29.99,0,94,57519,Unknown,1725570,657,action vr;swordplay;moddable;sandbox;gore;magic;action;violent;physics;medieval
333640,Caves of Qud,2024-12-05,Adventure,Procedural Generation;Turn-Based Combat;Open World;Turn-Based;Transhumanism;Sci-fi;Traditional Roguelike;Replay Value;Roguelike;RPG,23.99,20,90,11303,Unknown,339090,425,adventure procedural generation;turn-based combat;open world;turn-based;transhumanism;sci-fi;traditional roguelike;replay value;roguelike;rpg
814380,Sekiro™: Shadows Die Twice - GOTY Edition,2019-03-21,Action,Souls-like;Difficult;Action;Singleplayer;Ninja;Stealth;Adventure;Third Person;Open World;Story Rich,59.99,0,94,251002,Unknown,7530060,6767,action souls-like;difficult;action;singleplayer;ninja;stealth;adventure;third person;open world;story rich
546560,Half-Life: Alyx,2020-03-23,Action,VR;FPS;Story Rich;Horror;Female Protagonist;Shooter;Singleplayer;First-Person;Action;Sci-fi,59.99,0,96,90346,Unknown,2710380,202,action vr;fps;story rich;horror;female protagonist;shooter;singleplayer;first-person;action;sci-fi
1367550,Kingdom Rush Vengeance - Tower Defense,2020-10-15,Strategy,Tower Defense;Strategy;Singleplayer;2D;Difficult;Medieval;Cartoon;Choices Matter;Adventure;Demons,9.99,50,93,9444,Unknown,283320,192,strategy tower defense;strategy;singleplayer;2d;difficult;medieval;cartoon;choices matter;adventure;demons
